MutationType	Polk_liver	WT_liver
1:Del:C:0	18	7
1:Del:C:1	12	4
1:Del:C:2	7	1
1:Del:C:3	3	3
1:Del:C:4	1	0
1:Del:C:5	3	4
1:Del:T:0	9	6
1:Del:T:1	7	0
1:Del:T:2	6	4
1:Del:T:3	6	6
1:Del:T:4	6	2
1:Del:T:5	21	23
1:Ins:C:0	0	0
1:Ins:C:1	0	0
1:Ins:C:2	0	0
1:Ins:C:3	0	0
1:Ins:C:4	0	0
1:Ins:C:5	1	2
1:Ins:T:0	4	1
1:Ins:T:1	4	3
1:Ins:T:2	6	0
1:Ins:T:3	0	1
1:Ins:T:4	2	1
1:Ins:T:5	12	19
2:Del:R:0	0	0
2:Del:R:1	1	0
2:Del:R:2	0	2
2:Del:R:3	1	0
2:Del:R:4	0	0
2:Del:R:5	0	1
3:Del:R:0	0	0
3:Del:R:1	0	1
3:Del:R:2	0	0
3:Del:R:3	0	0
3:Del:R:4	0	0
3:Del:R:5	0	0
4:Del:R:0	0	1
4:Del:R:1	1	0
4:Del:R:2	0	0
4:Del:R:3	0	0
4:Del:R:4	0	0
4:Del:R:5	0	2
5:Del:R:0	2	5
5:Del:R:1	0	0
5:Del:R:2	0	0
5:Del:R:3	0	1
5:Del:R:4	0	0
5:Del:R:5	1	0
2:Ins:R:0	0	0
2:Ins:R:1	0	0
2:Ins:R:2	0	0
2:Ins:R:3	1	0
2:Ins:R:4	0	0
2:Ins:R:5	1	0
3:Ins:R:0	0	0
3:Ins:R:1	0	0
3:Ins:R:2	0	0
3:Ins:R:3	0	0
3:Ins:R:4	0	0
3:Ins:R:5	1	0
4:Ins:R:0	1	0
4:Ins:R:1	0	1
4:Ins:R:2	0	0
4:Ins:R:3	0	0
4:Ins:R:4	0	0
4:Ins:R:5	0	0
5:Ins:R:0	1	0
5:Ins:R:1	0	0
5:Ins:R:2	0	0
5:Ins:R:3	0	0
5:Ins:R:4	0	0
5:Ins:R:5	0	0
2:Del:M:1	2	0
3:Del:M:1	0	1
3:Del:M:2	0	1
4:Del:M:1	0	1
4:Del:M:2	0	1
4:Del:M:3	1	1
5:Del:M:1	1	4
5:Del:M:2	1	0
5:Del:M:3	3	0
5:Del:M:4	1	0
5:Del:M:5	1	1
