model.estimates	X2	X3	X4	X5	X6	X7
NA	estimate	pval	lower	upper	NA	NA
background	5.0917999999999998E-2	1.9946279999999998E-161	4.7232000000000003E-2	5.4604E-2	NA	NA
PolK	0.11919299999999999	0	0.113666	0.12472	NA	NA
Xpc	0.21246499999999999	0	0.20435900000000001	0.22057199999999999	NA	NA
Xpa	5.1279999999999999E-2	1.475304E-55	4.4879000000000002E-2	5.7681999999999997E-2	NA	NA
Xpc_PolK	7.8309000000000004E-2	2.4789439999999998E-34	6.5747E-2	9.0870999999999993E-2	NA	NA
Xpa_PolK	6.4102000000000006E-2	1.909632E-27	5.2526999999999997E-2	7.5676999999999994E-2	NA	NA
observed data	NA	NA	NA	NA	NA	NA
NA	WT	Xpa	Xpc	PolK	PolK-Xpc	Polk-Xpa
mean	5.0837E-2	0.102039	0.263409	0.17003199999999999	0.46079300000000001	0.285605
data points	2.9693000000000001E-2	9.6109E-2	0.23749600000000001	5.7669999999999999E-2	0.434838	0.30668499999999999
NA	5.0664000000000001E-2	0.126528	0.26960699999999999	0.159604	0.454619	0.25097999999999998
NA	7.2154999999999997E-2	8.3479999999999999E-2	0.28103099999999998	0.191858	0.35580400000000001	0.29915199999999997
NA	NA	NA	0.26550299999999999	0.167432	0.54744499999999996	NA
NA	NA	NA	NA	0.238538	0.51125900000000002	NA
NA	NA	NA	NA	0.18525700000000001	NA	NA
